cell_id,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDBI,NDWI,BSI,VV,VH,VH_VV_diff_db,ghs_built,viirs_radiance,elevacion,pendiente_grados,poblacion,vias_long_m,dist_via_principal_m,n_edificios,area_total_m2,area_media_m2,area_std_m2,compacidad_media,es_positivo,es_negativo,etiqueta,centroid_x_utm,centroid_y_utm
1,0.08135,0.0928,0.0889,0.09975,0.08315,0.08605,0.0704,0.08095,0.08075,0.0626,-0.11613309,0.068475045,0.13725491,0.055693857,-17.120447749047287,-26.285340283952912,-9.164892534905626,29,24.29917,0.0,0.0,0.0,0.0,229.51419052352796,0.0,0.0,0.0,0.0,0.0,False,False,,438148.27082237665,1149347.7220254836
2,0.08705,0.09695,0.07935,0.07345,0.05545,0.05705,0.05135,0.0558,0.0436,0.03435,-0.21423106,-0.08162191,0.3074848,-0.05911613,-17.753879370384766,-27.455223131757922,-9.701343761373156,2,24.29917,0.0,0.45076498,0.0,0.0,244.48105004701844,0.0,0.0,0.0,0.0,0.0,False,False,,438148.27082237665,1149447.7220254836
4,0.06365,0.07375,0.0525,0.0522,0.0361,0.03375,0.03565,0.0332,0.03235,0.02695,-0.19115144,-0.04852941,0.34826323,-0.078468636,-16.265154541747165,-25.720556865504918,-9.455402323757752,3860,24.29917,0.0,0.0,79.11659,0.0,132.24119707598797,0.0,0.0,0.0,0.0,0.0,False,True,0.0,438248.27082237665,1149247.7220254836
5,0.1024,0.12135,0.14055,0.16525,0.18925,0.2055,0.2007,0.22515,0.25495,0.20065,0.17626373,0.11906066,-0.24639031,0.13226455,-2.16579017149797,-13.907605589525051,-11.74181541802708,3952,24.29917,5.3455095,1.7206378,80.4564,231.19075261824128,129.60083119816886,6.0,2003.545863110729,333.92431051845483,54.52496706359387,0.7181999036965229,False,True,0.0,438248.27082237665,1149347.7220254836
6,0.16035,0.2028,0.22035,0.24135,0.24235,0.2539,0.24465,0.25735,0.3013,0.2913,0.05225808,0.10376405,-0.09353,0.12588352,-5.95919614235064,-19.926147543045587,-13.966951400694947,1326,24.29917,2.1912754,5.0347376,81.130875,77.98000682320641,149.54150850123003,1.0,1068.6957982433707,1068.6957982433707,0.0,0.6246120604861618,False,True,0.0,438248.27082237665,1149447.7220254836
7,0.16695,0.1743,0.14925,0.14275,0.098,0.1006,0.10175,0.08915,0.05605,0.0435,-0.18924303,-0.2896071,0.2628147,-0.13375527,-15.989880618247586,-26.590636975570106,-10.60075635732252,0,21.031248,0.0,0.0,81.04559,0.0,200.39722023392756,0.0,0.0,0.0,0.0,0.0,False,False,,438248.27082237665,1149547.7220254836
8,0.0597,0.06925,0.04195,0.04165,0.03195,0.0329,0.0288,0.0312,0.0288,0.0256,-0.18586572,0.0,0.41254467,-0.11145999,-17.49345574070811,-26.114244663490044,-8.620788922781934,0,24.29917,0.0,0.0,80.15197,0.0,126.98396863116447,0.0,0.0,0.0,0.0,0.0,False,False,,438348.27082237665,1149047.7220254836
9,0.0619,0.0749,0.05735,0.06745,0.0649,0.06715,0.0557,0.07015,0.07305,0.05375,-0.014595295,0.13475728,0.14701378,0.051612906,-12.944178338475263,-18.907027719029948,-5.962849380554685,1,24.29917,2.519591,6.854195,80.144936,76.91478318089145,67.98067555889041,2.0,1219.32601461723,609.663007308615,309.4774658953303,0.7539300336784183,False,True,0.0,438348.27082237665,1149147.7220254836
10,0.19705,0.23415,0.2809,0.29455,0.2981,0.31315,0.30415,0.3184,0.392,0.38035,0.039740168,0.12619409,-0.13003898,0.14623968,-2.4818897324339746,-11.510566051562861,-9.028676319128888,3227,24.29917,4.2522974,5.361399,80.51671,689.3197455668055,32.32184549742533,5.0,3529.402592443924,705.8805184887848,411.83148326468216,0.6795506529508402,False,True,0.0,438348.27082237665,1149247.7220254836
11,0.2269,0.24655,0.2842,0.3019,0.29555,0.29375,0.2882,0.2877,0.354,0.35675,0.0069880825,0.10246031,-0.07788686,0.10673722,-3.438820052869257,-14.145374378904746,-10.706554326035489,3750,24.29917,7.990516,4.686264,81.34454,815.0753473569536,29.68747187280971,1.0,3060.237821375191,3060.237821375191,0.0,0.7351896483386544,False,True,0.0,438348.27082237665,1149347.7220254836
12,0.1776,0.15615,0.14405,0.16685,0.1777,0.19185,0.20065,0.2278,0.20315,0.17595,0.16420077,0.0061911778,-0.12471975,-0.04280101,-0.8231625917994632,-15.655525416081197,-14.832362824281734,2475,24.29917,5.631321,2.6632962,81.64651,262.67610633372954,60.47740076871508,4.0,1636.3814555466683,409.0953638866671,292.73863254580783,0.7793453481132699,False,True,0.0,438348.27082237665,1149447.7220254836
13,0.1109,0.1278,0.1367,0.1574,0.1408,0.1488,0.1315,0.1459,0.1667,0.1472,-0.01938851,0.118041575,-0.014269198,0.11176255,-14.958405439524526,-24.702135776312915,-9.743730336788389,17,21.031248,0.0,1.8023236,81.45963,0.0,131.0159770769736,0.0,0.0,0.0,0.0,0.0,False,False,,438348.27082237665,1149547.7220254836
15,0.1626,0.19455,0.22905,0.21905,0.2219,0.2315,0.25375,0.24495,0.26685,0.2526,0.051159903,0.025163272,-0.13205443,0.08720194,-9.056116345701305,-11.957564283205548,-2.9014479375042423,574,24.29917,2.0105913,5.1367025,80.51671,200.31705720732572,49.70160275617734,5.0,2410.632080673512,482.1264161347024,182.51088080705549,0.6765500607473534,False,True,0.0,438448.27082237665,1149047.7220254836
16,0.08255,0.0901,0.09565,0.1254,0.13685,0.1422,0.1194,0.1473,0.1947,0.1616,0.11043943,0.23973258,-0.13985682,0.17956534,-2.583136325191565,-5.581346520998961,-2.9982101958073963,2867,24.29917,1.589199,2.2182374,80.68137,850.2262278763402,12.644005565476975,5.0,3327.949607201124,665.5899214402248,338.3862054403053,0.759496794263178,False,True,0.0,438448.27082237665,1149147.7220254836
17,0.1268,0.1544,0.168,0.1918,0.199,0.2074,0.2015,0.2105,0.2167,0.1963,0.09066307,0.036346253,-0.13234054,0.07910239,-12.1478544380111,-20.35325035688726,-8.205395918876158,2,24.29917,5.9653106,9.447621,80.036354,566.0018564722775,5.682384894386126,5.0,3381.2251865299204,676.245037305984,518.2444970043102,0.6499378633735506,False,True,0.0,438448.27082237665,1149247.7220254836
18,0.1714,0.2077,0.22535,0.2675,0.27645,0.28495,0.2703,0.28885,0.2713,0.24605,0.09068898,0.0018463574,-0.13096236,0.05856024,-8.368344050586217,-16.554996651020417,-8.1866526004342,1512,24.29917,0.0,11.615153,81.12739,589.2103366285863,1.8568187543846157,3.0,3874.4787126473666,1291.492904215789,429.34328642101804,0.7588660245536794,False,True,0.0,438448.27082237665,1149347.7220254836
19,0.09525,0.12015,0.1264,0.1613,0.2052,0.22665,0.2253,0.2356,0.2313,0.1944,0.2812056,0.013140598,-0.3043856,0.054773312,-5.945225484215758,-11.08056351857637,-5.135338034360611,1976,24.29917,6.9753246,2.2682264,81.11614,656.3478848700721,9.516591322983178,3.0,1969.6004591541882,656.5334863847294,500.9381215618116,0.7080284970135561,False,True,0.0,438448.27082237665,1149447.7220254836
20,0.1531,0.1835,0.1994,0.26195,0.27915,0.29265,0.27275,0.3054,0.3134,0.28755,0.15535317,0.06935087,-0.1956164,0.092633046,-12.11260106203475,-18.870063997680795,-6.7574629356460445,963,21.031248,0.0,3.1440833,81.24018,26.400920214031427,67.74752847236019,1.0,340.6392542727186,340.6392542727186,0.0,0.5101169021784511,False,True,0.0,438448.27082237665,1149547.7220254836
21,0.1367,0.1531,0.1418,0.1395,0.0972,0.1006,0.0924,0.0982,0.0542,0.038,-0.21093084,-0.26057297,0.24725051,-0.07786401,-14.585460886851703,-22.98151476179862,-8.396053874946919,0,21.031248,0.0,0.0,80.43033,0.0,145.99595755757773,0.0,0.0,0.0,0.0,0.0,False,False,,438448.27082237665,1149647.7220254836
22,0.0642,0.07095,0.04655,0.0488,0.0418,0.04195,0.0315,0.03925,0.03655,0.02955,-0.19282508,0.07421014,0.3850659,-0.07046979,-15.896208230221106,-24.70211199644543,-8.805903766224326,14,18.003765,0.0,0.0,62.721684,0.0,99.47176152667085,0.0,0.0,0.0,0.0,0.0,False,False,,438548.27082237665,1148947.7220254836
23,0.0691,0.0968,0.0874,0.1457,0.1903,0.1968,0.20825,0.20925,0.1954,0.15625,0.40876037,-0.031834517,-0.36534992,0.009729502,-1.9241322860559258,-7.83959913912646,-5.9154668530705345,2254,46.180138,12.510986,8.159791,80.69099,525.8475961207681,0.7975102941198786,9.0,4121.519643526627,457.94662705851414,107.13614798386182,0.6809256080042863,False,True,0.0,438548.27082237665,1149047.7220254836
24,0.0925,0.1204,0.12205,0.1563,0.21605,0.2382,0.2297,0.24905,0.20175,0.149,0.3060412,-0.06478156,-0.31219655,0.0024767758,-11.401595100974744,-17.995069244868645,-6.593474143893902,3751,46.180138,4.471923,10.45753,80.95324,583.0480416355651,4.008331191454774,0.0,0.0,0.0,0.0,0.0,False,True,0.0,438548.27082237665,1149147.7220254836
25,0.0354,0.0507,0.0308,0.03475,0.02445,0.0258,0.0225,0.02225,0.0218,0.0183,-0.1557223,-0.015801368,0.3852459,-0.0479638,-20.23148499937886,-26.80808339798778,-6.576598398608919,2,46.180138,0.0,0.0,80.96182,0.0,92.21994939102697,0.0,0.0,0.0,0.0,0.0,False,False,,438548.27082237665,1149247.7220254836
26,0.0332,0.0534,0.0329,0.0386,0.0309,0.0327,0.0259,0.0311,0.0339,0.0296,-0.11904763,0.13377926,0.34678432,0.061159622,-17.77528888725682,-27.262217464328568,-9.486928577071748,1785,46.180138,0.0,0.9260025,81.31948,398.31331129341226,47.380242092525066,0.0,0.0,0.0,0.0,0.0,False,False,,438548.27082237665,1149347.7220254836
27,0.18285,0.1808,0.11795,0.1574,0.17295,0.2037,0.15785,0.20205,0.22345,0.16325,0.14467004,0.17204303,0.06776911,0.001026238,-5.397567327696173,-10.42515276639374,-5.027585438697567,3782,46.180138,8.186481,0.9514549,80.06675,179.40410882018753,52.03443940861355,1.0,2933.8173206140327,2933.8173206140327,0.0,0.33454148760942476,False,True,0.0,438548.27082237665,1149447.7220254836
